             Comp.1       Comp.2      Comp.3        Comp.4       Comp.5
 [13,] -0.325039636 -0.83706678  0.918285391 -0.76441394 -0.458619010  1.665894108
 [14,]  0.336604423 -1.00517385 -0.166350793 -0.04570936  2.074541252 -0.014815029
 [15,]  0.345259407  0.84951365  0.218899068 -0.35831950  0.241206526  0.530883297
 [16,] -0.017952102  0.18012806 -0.253192215 -0.27317496  0.623732748  0.313374155
 [17,] -1.039626262 -0.86469437 -0.426714419 -1.95376369 -1.245630907  1.551100212
 [18,] -0.661291435 -0.44392387 -0.132426389 -0.51450301 -1.482894569  0.939781218
 [19,] -0.492750954 -1.08654028  0.463700520 -0.12531209  0.111485928 -0.297644448
 [20,] -1.916113046  0.96212297  0.688324663  0.20705250 -0.130331926  0.111313171
 [21,] -0.022168253 -2.74247292  0.356374166  0.49500744  0.021257449  0.368639797
 [22,] -0.294620736 -0.57153528 -0.074642818 -0.25774652  0.659568323 -0.476620584
 [23,] -1.101799928  1.19116593  0.039807522 -0.66698889  0.882575361  0.221634042
 [24,]  0.344910737  1.85312370  1.276726542  0.17521492 -1.909336683 -0.984437787
 [25,]  0.766221487  0.26317816 -0.828395957 -0.90184871  0.051392303  0.418273995
 [26,] -0.873614208 -0.64382409 -0.331943918 -0.48834229  0.070696136 -0.007772114
 [27,] -0.722690833  0.91482512 -0.007941458  0.27448752  1.534830263  1.441614369
            Comp.17      Comp.18      Comp.19      Comp.20      Comp.21
  [1,]  0.748254598 -1.144851752  0.285919222  0.484720293 -0.269778498
  [2,]  0.044728686 -0.318337786  0.917372288  0.090307599 -0.504319683
  [3,]  0.068316358 -0.195337514  0.783458914 -0.289827115  0.033982164
  [4,] -0.881821366  0.995304959  0.428096657 -0.483116274 -1.152529082
  [5,]  0.586659217 -0.002249463  0.536343147  0.509502674 -0.869572300
  [6,]  0.412893606  0.109252243 -1.070601174  1.519783971 -0.085596430
  [7,] -0.676856399 -1.588705799  0.337446086  0.682425558 -1.032997902
  [8,] -0.547199661  0.725360622 -0.334376898  0.137263867  0.180914898
  [9,]  0.999965477  0.512504024 -0.531051456 -0.380758473 -0.093875541
 [10,] -1.052121813 -0.280626483 -0.398334582 -0.488311389 -0.539880234
 [11,] -0.023872613  0.474592880  0.213675562 -0.196792782 -0.242798260
 [12,]  0.941314386  0.434457830  1.082564891  0.561429229  0.341074099
 [13,]  2.018026650  0.300999770  0.050232650  0.255679448  0.260350684
 [14,]  1.533246959  0.720784641  0.374568893 -0.425839213  0.177892130
 [15,]  0.044728686 -0.318337786  0.917372288  0.090307599 -0.504319683
 [16,]  0.424872327  1.292632653  0.192601414  1.212316838  0.252150949
 [17,] -1.147331160  1.026577132  0.945801230 -0.182492151 -0.415379442
 [18,]  0.045078278 -0.437122102  0.028760008 -0.333599853  0.881844998
 [19,] -0.314813806 -0.087644690 -0.881018082 -0.308058988 -0.228642424
 [20,] -1.263036080 -0.480635566 -1.283771379 -0.447425775  0.428886410
