             Q2         Q3           Q4         Q5           Q6          Q7
Q23  0.611882452  0.652959820  0.41819445 0.38620483  0.545974219  0.41086010
Q24  0.616763987  0.623926156  0.38686649 0.32955750  0.461887630  0.40418722
Q25  0.573815071  0.597799630  0.38251890 0.31793589  0.465362347  0.37033743
Q26  0.476517837  0.520443919  0.27574573 0.35200717  0.264173101  0.27739279
Q27  0.494808268  0.454629786  0.27793004 0.26297530  0.341774850  0.22928293
Q28  0.337504632  0.417526109  0.26187961 0.31181882  0.274095790  0.28175389
            Q20         Q21         Q22         Q23         Q24          Q25
Q2  -0.03963122 -0.04480561 -0.19533271 -0.19001351 -0.22400505 -0.290569355
Q3   0.28024487  0.18796886  0.24490352  0.20976655  0.13178821  0.190676302
Q4  -0.09126044 -0.04046295 -0.16818591 -0.14372328 -0.22270751 -0.216998135
Q5   0.20954220  0.35701840  0.48424259  0.47854006  0.49599850  0.500592242
Q6   0.09930030  0.20475285  0.35333360  0.35917692  0.37778250  0.398471304
Q7   0.35608834  0.28969631  0.39877667  0.41236357  0.33655479  0.445458165
Q8   0.19449732  0.29856832  0.45813822  0.49265984  0.54089559  0.525681055
Q9   0.27928100  0.31794685  0.49620749  0.56586170  0.58479286  0.625364046
Q10  0.21419831  0.39365115  0.56781462  0.63514564  0.66505409  0.667224885
Q11  0.38101885  0.38836110  0.49945958  0.56719378  0.57225416  0.619451643
Q12  0.34652032  0.33737554  0.50898216  0.57520011  0.56988007  0.546326096
Q13  0.31062598  0.45563545  0.59463005  0.66210698  0.64256613  0.606597473
Q14  0.43108611  0.44226890  0.63129326  0.61188245  0.61676399  0.573815071
Q15  0.41378332  0.51818759  0.60137270  0.65295982  0.62392616  0.597799630
Q16  0.18685078  0.46086523  0.40912522  0.41819445  0.38686649  0.382518899
Q17  0.33198971  0.44262660  0.39376547  0.38620483  0.32955750  0.317935890
Q18  0.37249601  0.50784372  0.54494383  0.54597422  0.46188763  0.465362347
Q19  0.60993617  0.54980848  0.46652705  0.41086010  0.40418722  0.370337426
Q20  1.00000000  0.53914921  0.47066670  0.42728376  0.43602335  0.442628925
Q21  0.53914921  1.00000000  0.55694058  0.53293115  0.50845002  0.507014196
Q22  0.47066670  0.55694058  1.00000000  0.82644565  0.81188281  0.764701977
Q23  0.42728376  0.53293115  0.82644565  1.00000000  0.81984962  0.809011348
Q24  0.43602335  0.50845002  0.81188281  0.81984962  1.00000000  0.816762954
Q25  0.44262892  0.50701420  0.76470198  0.80901135  0.81676295  1.000000000
Q26  0.31016437  0.30730119  0.54069503  0.52628314  0.54964269  0.517460386
Q27  0.22012661  0.30932968  0.47225697  0.47092323  0.54622690  0.481547433
Q28  0.23935170  0.27055655  0.34566118  0.37599475  0.34415303  0.397042812
            Q26          Q27         Q28          Q29         Q30         Q31
Q2  -0.35536625 -0.262422131 -0.09251854 -0.279846284 -0.32144442 -0.12378083
Q3   0.21495838  0.129974371  0.22375923  0.058977654  0.17703257  0.17179311
Q4  -0.21441288 -0.273672144 -0.08022941 -0.074846709 -0.10011591 -0.05679853
Q5   0.49307968  0.497106042  0.27484496  0.256136711  0.45302990  0.29790614
Q6   0.46107024  0.463425106  0.21387698  0.343138426  0.45318001  0.33579009
Q7   0.27053794  0.242395171  0.24853888  0.200884052  0.36587498  0.22787013
Q8   0.55482764  0.590819432  0.32528014  0.372355197  0.56651261  0.40966769
Q9   0.50795593  0.472275493  0.36990293  0.405364567  0.54343349  0.34076396
Q10  0.54175845  0.585200455  0.39582638  0.350571467  0.55714003  0.41843114
Q11  0.38417668  0.395843972  0.44076010  0.352958213  0.41321983  0.29055440
Q12  0.43044014  0.424151091  0.43680493  0.340731971  0.44317894  0.32395868
Q13  0.51191167  0.495960913  0.34970226  0.356998594  0.59011480  0.38484303
Q14  0.47651784  0.494808268  0.33750463  0.255012723  0.52882098  0.36167313
Q15  0.52044392  0.454629786  0.41752611  0.406214117  0.59682857  0.44886332
Q16  0.27574573  0.277930039  0.26187961  0.236153093  0.36964381  0.30045564
Q17  0.35200717  0.262975304  0.31181882  0.173541367  0.30896077  0.33385282
Q18  0.26417310  0.341774850  0.27409579  0.285564705  0.37663200  0.27920659
Q19  0.27739279  0.229282931  0.28175389  0.234484021  0.33994227  0.28632469
Q20  0.31016437  0.220126612  0.23935170  0.235736834  0.32747313  0.35745710
Q21  0.30730119  0.309329681  0.27055655  0.269278602  0.40562327  0.34198124
Q22  0.54069503  0.472256967  0.34566118  0.328226677  0.58865682  0.41509853
Q23  0.52628314  0.470923232  0.37599475  0.431451993  0.59608662  0.42507499
Q24  0.54964269  0.546226895  0.34415303  0.413815972  0.62028311  0.43668121
Q25  0.51746039  0.481547433  0.39704281  0.455372132  0.59509241  0.37220661
Q26  1.00000000  0.739853501  0.52394678  0.518347228  0.67388687  0.60671334
Q27  0.73985350  1.000000000  0.43173485  0.464769422  0.64129329  0.48561577
Q28  0.52394678  0.431734852  1.00000000  0.516334228  0.48481359  0.42976382
             Q32           Q33          Q34         Q35         Q36         Q37
Q2   0.321447298  0.2171115531  0.368150499 -0.16457824 -0.13563625 -0.14376571
Q3   0.087988426  0.0888115744  0.067892320  0.07351465  0.09846389  0.14542154
Q4   0.284709409  0.1347953479  0.256148062 -0.08792108 -0.11377041 -0.10204577
Q5  -0.177106548 -0.0569979981 -0.130961702  0.30962992  0.28102318  0.23382981
Q6  -0.002387245 -0.1063868108 -0.096366136  0.33641380  0.20668120  0.26793933
Q7  -0.060377833 -0.0419555078 -0.128964029  0.13365552  0.11108714  0.15753524
Q8  -0.024932282 -0.0330090965 -0.090513819  0.27832959  0.25826745  0.24606470
Q9  -0.039479452 -0.0005417901 -0.115546280  0.25045721  0.28459580  0.20462399
Q10 -0.141493729 -0.0634043102 -0.191352169  0.34168974  0.35498164  0.30753942
Q11 -0.007501322  0.0687286391 -0.038270427  0.24349513  0.35956254  0.22763163
Q12 -0.013857375 -0.0067264156 -0.107255777  0.21104742  0.34477706  0.19769623
Q13 -0.030308700  0.0457782453 -0.099311808  0.34075144  0.38318926  0.28296324
Q14 -0.065538229  0.0018777518 -0.151386090  0.32856760  0.34326790  0.30917665
Q15 -0.034044094 -0.0691878944 -0.207384064  0.42949231  0.34622365  0.34753290
Q16  0.021536525  0.0481789972 -0.014462787  0.26694900  0.23119554  0.19498406
Q17  0.159715529  0.0203594145  0.060884955  0.14979164  0.28116562  0.29376378
Q18  0.209171121  0.1483540600 -0.002574706  0.19064469  0.18769772  0.14379191
Q19  0.014334846 -0.0621283884 -0.068537025  0.21883771  0.13151817  0.15017545
Q20  0.054257004  0.0072515398 -0.111359965  0.16479253  0.14413814  0.14119979
Q21  0.112260587  0.0372664600  0.017331988  0.29427002  0.27579309  0.26678340
Q22 -0.062062445 -0.0565443125 -0.199693840  0.33739553  0.32795687  0.26914723
Q23 -0.034943390  0.0246690708 -0.126243855  0.39157155  0.38070746  0.33436011
Q24 -0.077595136 -0.0133856132 -0.153544519  0.33727566  0.37787231  0.30032734
Q25 -0.054366095  0.0059822419 -0.156786790  0.32612024  0.38240842  0.28870942
Q26 -0.091029520 -0.1219795466 -0.154727214  0.48570823  0.41331753  0.40333674
Q27  0.054870654  0.0817356850 -0.009432967  0.44462903  0.44659904  0.44529995
Q28  0.126914440  0.0172259703  0.027314849  0.28239623  0.26881320  0.20092835
 [ reached getOption("max.print") -- omitted 9 rows ]
